username,repo_name,stars,repo_url
httpie,httpie,51200,https://github.com/httpie/httpie
junegunn,fzf,37400,https://github.com/junegunn/fzf
sharkdp,bat,27800,https://github.com/sharkdp/bat
wagoodman,dive,26600,https://github.com/wagoodman/dive
chubin,cheat.sh,26200,https://github.com/chubin/cheat.sh
BurntSushi,ripgrep,26100,https://github.com/BurntSushi/ripgrep
sherlock-project,sherlock,25800,https://github.com/sherlock-project/sherlock
angular,angular-cli,24600,https://github.com/angular/angular-cli
cli,cli,23800,https://github.com/cli/cli
spf13,cobra,22000,https://github.com/spf13/cobra
alebcay,awesome-shell,21700,https://github.com/alebcay/awesome-shell
jesseduffield,lazygit,20300,https://github.com/jesseduffield/lazygit
google,python-fire,19700,https://github.com/google/python-fire
avajs,ava,19100,https://github.com/avajs/ava
tqdm,tqdm,18600,https://github.com/tqdm/tqdm
vercel,pkg,18300,https://github.com/vercel/pkg
sharkdp,fd,17700,https://github.com/sharkdp/fd
chalk,chalk,16600,https://github.com/chalk/chalk
vadimdemedes,ink,16400,https://github.com/vadimdemedes/ink
svg,svgo,16300,https://github.com/svg/svgo
n8n-io,n8n,16100,https://github.com/n8n-io/n8n
urfave,cli,16000,https://github.com/urfave/cli
gpakosz,.tmux,14400,https://github.com/gpakosz/.tmux
FormidableLabs,webpack-dashboard,13800,https://github.com/FormidableLabs/webpack-dashboard
allinurl,goaccess,13400,https://github.com/allinurl/goaccess
infinitered,ignite,12600,https://github.com/infinitered/ignite
pomber,git-history,12600,https://github.com/pomber/git-history
jarun,nnn,11700,https://github.com/jarun/nnn
asdf-vm,asdf,11100,https://github.com/asdf-vm/asdf
pallets,click,11000,https://github.com/pallets/click
