username,repo_name,stars,repo_url
ansible,ansible,48800,https://github.com/ansible/ansible
StreisandEffect,streisand,22500,https://github.com/StreisandEffect/streisand
trailofbits,algo,21000,https://github.com/trailofbits/algo
kubernetes-sigs,kubespray,10800,https://github.com/kubernetes-sigs/kubespray
ansible,awx,9800,https://github.com/ansible/awx
bregman-arie,devops-exercises,8900,https://github.com/bregman-arie/devops-exercises
easzlab,kubeasz,7000,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,4700,https://github.com/geerlingguy/ansible-for-devops
rundeck,rundeck,4300,https://github.com/rundeck/rundeck
ansible-semaphore,semaphore,4200,https://github.com/ansible-semaphore/semaphore
geerlingguy,mac-dev-playbook,3700,https://github.com/geerlingguy/mac-dev-playbook
Tikam02,DevOps-Guide,3700,https://github.com/Tikam02/DevOps-Guide
KubeOperator,KubeOperator,3500,https://github.com/KubeOperator/KubeOperator
ansible-community,molecule,3100,https://github.com/ansible-community/molecule
clong,DetectionLab,2900,https://github.com/clong/DetectionLab
opendevops-cn,opendevops,2700,https://github.com/opendevops-cn/opendevops
welliamcao,OpsManage,2700,https://github.com/welliamcao/OpsManage
ansible-community,ansible-lint,2500,https://github.com/ansible-community/ansible-lint
netbootxyz,netboot.xyz,2500,https://github.com/netbootxyz/netboot.xyz
werf,werf,2400,https://github.com/werf/werf
alixaxel,chrome-aws-lambda,2300,https://github.com/alixaxel/chrome-aws-lambda
roots,trellis,2200,https://github.com/roots/trellis
dev-sec,ansible-collection-hardening,2200,https://github.com/dev-sec/ansible-collection-hardening
ansistrano,deploy,2100,https://github.com/ansistrano/deploy
openshift,openshift-ansible,2000,https://github.com/openshift/openshift-ansible
fboender,ansible-cmdb,1900,https://github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,1900,https://github.com/pytest-dev/pytest-testinfra
leucos,ansible-tuto,1900,https://github.com/leucos/ansible-tuto
Artemmkin,infrastructure-as-code-tutorial,1900,https://github.com/Artemmkin/infrastructure-as-code-tutorial
geerlingguy,ansible-vagrant-examples,1900,https://github.com/geerlingguy/ansible-vagrant-examples
