username,repo_name,stars,repo_url
atom,atom,55600,https://github.com/atom/atom
dracula,dracula-theme,15900,https://github.com/dracula/dracula-theme
mjswensen,themer,4200,https://github.com/mjswensen/themer
nteract,hydrogen,3700,https://github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3300,https://github.com/shd101wyy/markdown-preview-enhanced
miniflux,v2,2900,https://github.com/miniflux/v2
atom,teletype,2300,https://github.com/atom/teletype
mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom
mmcdole,gofeed,1700,https://github.com/mmcdole/gofeed
joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify
t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus
simplepie,simplepie,1400,https://github.com/simplepie/simplepie
ocaml,merlin,1300,https://github.com/ocaml/merlin
MagicStack,MagicPython,1300,https://github.com/MagicStack/MagicPython
kurtmckee,feedparser,1300,https://github.com/kurtmckee/feedparser
atom,apm,1200,https://github.com/atom/apm
file-icons,atom,1100,https://github.com/file-icons/atom
kettanaito,atomic-layout,957,https://github.com/kettanaito/atomic-layout
danhper,atomic-chrome,929,https://github.com/danhper/atomic-chrome
nmdias,FeedKit,916,https://github.com/nmdias/FeedKit
atom,github,913,https://github.com/atom/github
nathanbuchar,atom-one-dark-terminal,905,https://github.com/nathanbuchar/atom-one-dark-terminal
jesseweed,seti-ui,866,https://github.com/jesseweed/seti-ui
prettier,prettier-atom,761,https://github.com/prettier/prettier-atom
fwcd,kotlin-language-server,724,https://github.com/fwcd/kotlin-language-server
raphamorim,lucario,723,https://github.com/raphamorim/lucario
atom-community,atom-script,718,https://github.com/atom-community/atom-script
jasonmunro,cypht,657,https://github.com/jasonmunro/cypht
jekyll,jekyll-feed,651,https://github.com/jekyll/jekyll-feed
